                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.2417,                 1.1557,                 1.4401,                0.74207,                0.66113,                0.72586,                0.40737,                 1.5625,                 1.2574,                 1.7034,               0.000637,               0.000637,               0.000637
                    113,                 1.2397,                 1.1574,                 1.4389,                0.68637,                0.67745,                0.73489,                 0.4021,                 1.5731,                 1.2584,                 1.6998,              0.0006337,              0.0006337,              0.0006337
                    114,                 1.2292,                  1.168,                 1.4388,                0.65851,                0.70422,                 0.7279,                 0.4075,                 1.5487,                 1.2488,                 1.7086,              0.0006304,              0.0006304,              0.0006304
                    115,                 1.2581,                 1.1652,                 1.4468,                0.72838,                0.67946,                0.74086,                0.41168,                 1.5521,                 1.2464,                 1.6875,              0.0006271,              0.0006271,              0.0006271
                    116,                 1.2537,                 1.1733,                 1.4455,                0.66083,                 0.7146,                0.72391,                0.40303,                 1.5696,                 1.2631,                 1.7123,              0.0006238,              0.0006238,              0.0006238
                    117,                 1.2401,                 1.1656,                 1.4384,                0.69652,                0.67599,                0.73892,                0.40526,                 1.5613,                 1.2334,                 1.7107,              0.0006205,              0.0006205,              0.0006205
                    118,                 1.2238,                 1.1593,                 1.4316,                0.71661,                 0.6677,                0.74396,                0.40601,                 1.5593,                   1.22,                 1.7027,              0.0006172,              0.0006172,              0.0006172
                    119,                 1.2086,                 1.1176,                 1.4139,                0.68739,                0.66221,                0.71428,                 0.3988,                 1.5746,                 1.2683,                 1.7067,              0.0006139,              0.0006139,              0.0006139
                    120,                 1.2337,                 1.1526,                 1.4397,                0.67991,                0.70145,                0.73523,                0.41339,                 1.5536,                 1.2231,                 1.7051,              0.0006106,              0.0006106,              0.0006106
                    121,                 1.2379,                 1.1295,                 1.4219,                0.68555,                0.68204,                0.73283,                0.40394,                 1.5553,                 1.2315,                 1.6825,              0.0006073,              0.0006073,              0.0006073
                    122,                 1.2484,                 1.1363,                 1.4369,                0.74154,                0.64914,                0.74541,                0.40579,                 1.5815,                 1.2251,                 1.7011,               0.000604,               0.000604,               0.000604
                    123,                 1.2199,                 1.1004,                 1.4276,                0.67996,                0.70102,                0.73623,                0.41204,                 1.5561,                 1.2064,                 1.6974,              0.0006007,              0.0006007,              0.0006007
                    124,                 1.2141,                 1.1269,                 1.4164,                0.71454,                0.69634,                 0.7414,                0.41376,                 1.5549,                 1.2199,                 1.6849,              0.0005974,              0.0005974,              0.0005974
                    125,                 1.2209,                 1.1205,                 1.4114,                0.66327,                0.70574,                0.74201,                0.41799,                 1.5496,                 1.2238,                 1.7007,              0.0005941,              0.0005941,              0.0005941
                    126,                 1.2257,                 1.1107,                 1.4097,                0.67105,                0.70009,                0.73966,                0.41291,                 1.5306,                 1.2477,                  1.676,              0.0005908,              0.0005908,              0.0005908
                    127,                 1.2161,                 1.1022,                 1.4124,                0.67981,                0.70177,                0.73735,                 0.4092,                 1.5521,                 1.2141,                 1.6886,              0.0005875,              0.0005875,              0.0005875
                    128,                 1.2011,                 1.0983,                 1.4024,                0.68817,                0.69489,                 0.7268,                0.40748,                 1.5505,                 1.2225,                 1.7002,              0.0005842,              0.0005842,              0.0005842
                    129,                 1.2297,                 1.1195,                 1.4225,                0.69304,                0.70988,                0.74691,                0.41722,                 1.5379,                 1.1925,                  1.684,              0.0005809,              0.0005809,              0.0005809
                    130,                 1.2241,                  1.119,                 1.4146,                0.72935,                0.68086,                0.73907,                0.41475,                 1.5415,                  1.212,                 1.6788,              0.0005776,              0.0005776,              0.0005776
                    131,                 1.2037,                 1.0953,                 1.4033,                0.66128,                0.72033,                0.73856,                0.42988,                 1.5251,                 1.1981,                 1.6867,              0.0005743,              0.0005743,              0.0005743
                    132,                 1.2106,                 1.0981,                 1.4039,                0.70544,                0.70189,                0.74997,                0.42723,                 1.5332,                 1.1877,                 1.6773,               0.000571,               0.000571,               0.000571
                    133,                 1.1926,                 1.0758,                 1.4115,                0.70733,                0.69491,                0.75296,                0.42279,                 1.5409,                 1.1975,                 1.7068,              0.0005677,              0.0005677,              0.0005677
                    134,                 1.2018,                 1.1076,                  1.404,                0.68644,                0.69879,                0.74588,                 0.4239,                 1.5494,                 1.1739,                 1.7152,              0.0005644,              0.0005644,              0.0005644
                    135,                 1.2039,                 1.0994,                 1.4131,                 0.7261,                0.67617,                0.73547,                 0.4145,                 1.5422,                   1.22,                 1.6903,              0.0005611,              0.0005611,              0.0005611
                    136,                 1.2023,                 1.0691,                 1.4015,                 0.7004,                0.68031,                0.73942,                0.41251,                  1.556,                 1.1943,                 1.6898,              0.0005578,              0.0005578,              0.0005578
                    137,                 1.2014,                   1.09,                 1.3984,                0.67931,                0.69633,                0.72863,                0.40872,                 1.5443,                 1.2087,                 1.7045,              0.0005545,              0.0005545,              0.0005545
                    138,                  1.225,                 1.0895,                 1.4127,                0.66758,                0.71216,                0.72806,                0.41498,                 1.5662,                 1.2184,                    1.7,              0.0005512,              0.0005512,              0.0005512
                    139,                 1.1853,                 1.0628,                 1.3908,                0.68386,                0.71464,                0.73679,                0.42296,                 1.5391,                 1.1886,                  1.699,              0.0005479,              0.0005479,              0.0005479
                    140,                 1.1812,                 1.0727,                 1.3921,                0.71107,                0.68798,                0.74531,                0.42206,                 1.5333,                 1.1996,                 1.6923,              0.0005446,              0.0005446,              0.0005446
                    141,                 1.1861,                 1.0665,                 1.4074,                0.69277,                0.69643,                0.73062,                0.40696,                 1.5515,                 1.2115,                  1.701,              0.0005413,              0.0005413,              0.0005413
                    142,                 1.1843,                 1.0618,                  1.387,                0.71836,                0.69258,                0.74554,                0.42343,                 1.5482,                 1.1866,                 1.7053,               0.000538,               0.000538,               0.000538
                    143,                 1.1903,                 1.0737,                 1.3862,                0.67422,                 0.7062,                0.74374,                0.42198,                 1.5656,                 1.1695,                 1.7284,              0.0005347,              0.0005347,              0.0005347
                    144,                 1.1926,                 1.0723,                 1.3923,                0.71708,                0.68173,                0.73818,                0.41862,                 1.5554,                 1.1917,                 1.7019,              0.0005314,              0.0005314,              0.0005314
                    145,                 1.1777,                 1.0385,                 1.3879,                0.68217,                0.71322,                0.74643,                0.41997,                 1.5466,                  1.192,                 1.7074,              0.0005281,              0.0005281,              0.0005281
                    146,                  1.181,                 1.0749,                  1.391,                0.75963,                0.66639,                0.74547,                0.42013,                 1.5451,                 1.1923,                 1.6891,              0.0005248,              0.0005248,              0.0005248
                    147,                  1.185,                 1.0803,                  1.395,                0.69764,                0.69305,                0.73914,                0.42436,                 1.5414,                 1.1941,                 1.7184,              0.0005215,              0.0005215,              0.0005215
